#  Z   A El rea        E1       DE1        E2       DE2     E1def    DE1def     E2def    DE2def
  50 116 Sn 4b    15.7300    0.0300    0.0000    0.0000   15.6889    0.0000    0.0000    0.0000
  50 116 Sn 5     15.5800    0.0100    0.0000    0.0000   15.6889    0.0000    0.0000    0.0000
  50 117 Sn 4     15.6400    0.0200    0.0000    0.0000   15.6443    0.0000    0.0000    0.0000
  50 117 Sn 4     15.6500    0.0100    0.0000    0.0000   15.4518    0.0000   16.0523    0.0000
  50 117 Sn 4a    15.6000    0.0300    0.0000    0.0000   15.4518    0.0000   16.0523    0.0000
  50 117 Sn 4b    15.6300    0.0400    0.0000    0.0000   15.4518    0.0000   16.0523    0.0000
  50 117 Sn 5     15.6400    0.0100    0.0000    0.0000   15.4518    0.0000   16.0523    0.0000
  50 118 Sn 4     15.4300    0.0100    0.0000    0.0000   15.4076    0.0000   16.0063    0.0000
  50 118 Sn 4     15.5900    0.0100    0.0000    0.0000   15.5995    0.0000    0.0000    0.0000
  50 118 Sn 4a    15.3700    0.0400    0.0000    0.0000   15.5995    0.0000    0.0000    0.0000
  50 118 Sn 4b    15.3800    0.0400    0.0000    0.0000   15.5995    0.0000    0.0000    0.0000
  50 118 Sn 5     15.4800    0.0100    0.0000    0.0000   15.5995    0.0000    0.0000    0.0000
  50 119 Sn 4     15.5300    0.0200    0.0000    0.0000   15.5545    0.0000    0.0000    0.0000
  50 119 Sn 4a    14.7400    0.0300    0.0000    0.0000   15.5545    0.0000    0.0000    0.0000
  50 119 Sn 4b    14.7200    0.0400    0.0000    0.0000   15.5545    0.0000    0.0000    0.0000
  50 119 Sn 5     15.5800    0.0100    0.0000    0.0000   15.5545    0.0000    0.0000    0.0000
  50 120 Sn 4     15.3700    0.0100    0.0000    0.0000   15.5093    0.0000    0.0000    0.0000
  50 120 Sn 4     15.4000    0.0100    0.0000    0.0000   15.5093    0.0000    0.0000    0.0000
  50 120 Sn 4a    15.3000    0.0400    0.0000    0.0000   15.5093    0.0000    0.0000    0.0000
  50 120 Sn 4b    15.2700    0.0600    0.0000    0.0000   15.5093    0.0000    0.0000    0.0000
  50 120 Sn 5     15.3400    0.0100    0.0000    0.0000   15.5093    0.0000    0.0000    0.0000
  50 122 Sn 4a    15.3400    0.0300    0.0000    0.0000   15.4184    0.0000    0.0000    0.0000
  50 122 Sn 4b    15.3500    0.0500    0.0000    0.0000   15.4184    0.0000    0.0000    0.0000
  50 122 Sn 5     15.2500    0.0200    0.0000    0.0000   15.4184    0.0000    0.0000    0.0000
  50 124 Sn 3a    15.3100    0.0500    0.0000    0.0000   15.3271    0.0000    0.0000    0.0000
  50 124 Sn 3b    15.2900    0.0800    0.0000    0.0000   15.3271    0.0000    0.0000    0.0000
